resume_id,resume_role,resume_text,job_id,job_role,job_text,label
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R3,SWE,"Backend developer with experience in Go, Redis, gRPC, and scalable distributed systems.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R4,ML,"Machine learning engineer with projects in NLP, PyTorch, sklearn, transformers, and model deployment.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R5,ML,"Deep learning engineer experienced in CNNs, computer vision, and GPU training pipelines.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R6,DS,"Data scientist skilled in statistical modeling, A/B testing, regression, clustering, and predictive analytics.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R7,DS,"Business data analyst with SQL, Tableau, Excel, and KPI dashboard experience.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R8,DA,"Data engineer experienced in Airflow, ETL pipelines, Spark, and cloud data warehouses.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R9,FE,"Frontend engineer with React, TypeScript, Redux, UI optimization, and accessibility improvements.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J8,DA,"Data Engineer responsible for building pipelines, automating workflows with Airflow, and supporting analytical teams.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J9,FE,"Frontend engineer needed to build performant React interfaces, reusable components, and optimize for accessibility.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J10,FE,"UI engineer role involving Next.js development, design system improvements, and responsive layouts.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J11,PM,"Hiring a Product Manager to drive roadmap planning, write PRDs, run sprint ceremonies, and evaluate product metrics.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J12,PM,"Technical PM position responsible for API design discussions, cross-team alignment, and platform feature planning.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J13,ML,"NLP engineer role focusing on embeddings, text classification, and improving search relevance.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J14,SWE,"Looking for a Java backend engineer experienced in microservices, caching, and API development.",
R10,FE,"UI developer experienced in Next.js, CSS animations, responsive design, and component libraries.",J15,DS,"Data Scientist needed for customer modeling, time series forecasting, and machine learning experimentation.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J1,SWE,"Hiring a backend software engineer to design REST APIs using Java/Spring, work on relational databases, and scale microservices.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J2,SWE,"Looking for a full-stack engineer skilled in Django, React, CI/CD pipelines, and cloud deployment.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J3,SWE,"Seeking a backend engineer with Go, Redis, message queues, and distributed system knowledge.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J4,ML,"Machine Learning Engineer role focusing on classification models, NLP pipelines, and deploying models to production.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J5,ML,"Deep Learning Engineer needed for CNN development, image classification, training optimization, and GPU workloads.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J6,DS,"Hiring a Data Scientist to run experiments, build models, analyze datasets, and communicate insights.",
R11,PM,"Product manager with experience writing PRDs, running sprints, leading cross-functional teams, and analyzing user research.",J7,DS,"Data Analyst position requiring SQL, dashboard development, metric analysis, and business reporting.",
