resume_id,resume_role,resume_text
Syn_R41,DA,"Senior Data Analyst with 8 years experience, holding a M.S. in Data Science. Expert in SQL, PowerBI, Google Analytics. Automated reporting saving 15 hours/week.
SKILLS: SQL, Tableau, dbt, PowerBI, Looker, Excel"
Syn_R48,PM,"Senior Product Manager with 3 years experience, holding a M.S. in Computer Science. Expert in Scrum, SQL, A/B Testing. Increased user retention by 20% through feature optimization.
SKILLS: Agile, Jira, Scrum, SQL, A/B Testing, Roadmapping, Figma, User Research"
Syn_R2,SWE,"Senior Software Engineer with 9 years experience, holding a B.S. in Electrical Engineering. Expert in PostgreSQL, Python, Kafka. Built payment system processing $1M+ daily volume.
SKILLS: Go, Redis, Java, Kubernetes, PostgreSQL, Python, Microservices, AWS, C++, CI/CD"
Syn_R37,FE,"Senior Frontend Developer with 9 years experience, holding a M.S. in Artificial Intelligence. Expert in React, TypeScript, Vue.js. Built design system adopted by 4 product teams.
SKILLS: Figma, Redux, HTML, TypeScript, Next.js, Vue.js, CSS, Tailwind, Jest, React"
Syn_R6,SWE,"Senior Software Engineer with 3 years experience, holding a B.S. in Electrical Engineering. Expert in Go, Kafka, Redis. Led migration to AWS reducing infra costs by 20%.
SKILLS: PostgreSQL, CI/CD, Kubernetes, Python, Docker, Redis, C++, Microservices"
Syn_R27,DS,"Senior Data Scientist with 4 years experience, holding a M.B.A.. Expert in SQL, Snowflake, R. Built pricing algorithm increasing margin by 5%.
SKILLS: SQL, Spark, Statistical Modeling, R, A/B Testing, Tableau, Pandas"
Syn_R28,DS,"Senior Data Scientist with 3 years experience, holding a M.B.A.. Expert in A/B Testing, Snowflake, Python. Designed churn model improving retention by 12%.
SKILLS: Python, BigQuery, Tableau, R, A/B Testing, Pandas, Snowflake, SQL, Statistical Modeling"
Syn_R14,ML,"Senior Machine Learning Engineer with 7 years experience, holding a M.S. in Artificial Intelligence. Expert in Generative AI, Hugging Face, OpenCV. Fine-tuned LLaMA model reducing support tickets by 60%.
SKILLS: CUDA, OpenCV, Generative AI, TensorFlow, LLMs, MLOps, Scikit-learn"
Syn_R31,DS,"Senior Data Scientist with 8 years experience, holding a M.S. in Data Science. Expert in Statistical Modeling, BigQuery, Tableau. Built pricing algorithm increasing margin by 5%.
SKILLS: Pandas, Tableau, Statistical Modeling, R, Snowflake, BigQuery"
Syn_R32,DS,"Senior Data Scientist with 8 years experience, holding a M.S. in Artificial Intelligence. Expert in Tableau, Python, Pandas. Built pricing algorithm increasing margin by 5%.
SKILLS: Pandas, Python, A/B Testing, BigQuery, Statistical Modeling, Tableau, SQL, R, Snowflake, Spark"
Syn_R20,ML,"Senior Machine Learning Engineer with 3 years experience, holding a B.S. in Electrical Engineering. Expert in LLMs, PyTorch, TensorFlow. Fine-tuned LLaMA model reducing support tickets by 60%.
SKILLS: Hugging Face, Generative AI, Python, MLOps, Scikit-learn, TensorFlow, LLMs, CUDA, OpenCV, PyTorch"
Syn_R12,SWE,"Senior Software Engineer with 3 years experience, holding a M.S. in Data Science. Expert in Python, C++, Java. Optimized backend API latency by 40% handling 10k requests/sec.
SKILLS: Redis, CI/CD, Microservices, PostgreSQL, Go, Java, Kubernetes, C++"
Syn_R25,DS,"Senior Data Scientist with 9 years experience, holding a M.S. in Computer Science. Expert in A/B Testing, Python, Tableau. Built pricing algorithm increasing margin by 5%.
SKILLS: A/B Testing, Tableau, Snowflake, Pandas, Python, BigQuery, Statistical Modeling, SQL, Spark"
Syn_R19,ML,"Senior Machine Learning Engineer with 6 years experience, holding a M.S. in Data Science. Expert in OpenCV, MLOps, PyTorch. Fine-tuned LLaMA model reducing support tickets by 60%.
SKILLS: OpenCV, PyTorch, CUDA, LLMs, Generative AI, Python"
Syn_R15,ML,"Senior Machine Learning Engineer with 3 years experience, holding a B.S. in Electrical Engineering. Expert in CUDA, TensorFlow, Scikit-learn. Improved defect detection accuracy by 25% via Computer Vision.
SKILLS: TensorFlow, MLOps, Hugging Face, PyTorch, LLMs, Python"
Syn_R22,ML,"Senior Machine Learning Engineer with 8 years experience, holding a M.B.A.. Expert in MLOps, Python, LLMs. Fine-tuned LLaMA model reducing support tickets by 60%.
SKILLS: Generative AI, LLMs, CUDA, PyTorch, Python, MLOps, TensorFlow, OpenCV"
Syn_R49,PM,"Senior Product Manager with 2 years experience, holding a M.S. in Computer Science. Expert in Scrum, Figma, Roadmapping. Led cross-functional team to on-time Q4 launch.
SKILLS: Jira, Figma, Scrum, User Research, Roadmapping, SQL"
Syn_R8,SWE,"Senior Software Engineer with 3 years experience, holding a M.S. in Artificial Intelligence. Expert in C++, Go, Kubernetes. Led migration to AWS reducing infra costs by 20%.
SKILLS: Docker, Python, Redis, AWS, Kafka, Microservices, Java"
Syn_R33,FE,"Senior Frontend Developer with 9 years experience, holding a M.S. in Data Science. Expert in HTML, Figma, Redux. Reduced initial page load time by 3 seconds.
SKILLS: CSS, Redux, HTML, TypeScript, Next.js, Tailwind, Vue.js"
Syn_R40,FE,"Senior Frontend Developer with 8 years experience, holding a M.B.A.. Expert in HTML, Vue.js, Tailwind. Built design system adopted by 4 product teams.
SKILLS: HTML, Next.js, Figma, Tailwind, TypeScript, CSS, React, Jest, Vue.js"
Syn_R45,DA,"Senior Data Analyst with 8 years experience, holding a M.S. in Computer Science. Expert in dbt, Looker, PowerBI. Identified key trend leading to 10% revenue lift.
SKILLS: Excel, PowerBI, dbt, Tableau, Looker, Python, Google Analytics"
Syn_R38,FE,"Senior Frontend Developer with 5 years experience, holding a B.S. in Computer Science. Expert in Next.js, React, Figma. Refactored codebase reducing bug reports by 30%.
SKILLS: Redux, React, HTML, Vue.js, Tailwind, Figma, TypeScript, CSS, Jest, Next.js"
Syn_R7,SWE,"Senior Software Engineer with 4 years experience, holding a B.S. in Electrical Engineering. Expert in AWS, Java, Docker. Optimized backend API latency by 40% handling 10k requests/sec.
SKILLS: Microservices, Redis, Java, Go, AWS, PostgreSQL, Docker, CI/CD, Python, Kubernetes"
Syn_R35,FE,"Senior Frontend Developer with 2 years experience, holding a B.S. in Computer Science. Expert in HTML, Vue.js, CSS. Reduced initial page load time by 3 seconds.
SKILLS: Jest, TypeScript, Redux, HTML, Tailwind, Figma"
Syn_R43,DA,"Senior Data Analyst with 2 years experience, holding a B.S. in Electrical Engineering. Expert in Tableau, Looker, PowerBI. Automated reporting saving 15 hours/week.
SKILLS: SQL, Python, Excel, Tableau, Google Analytics, dbt, PowerBI"
Syn_R16,ML,"Senior Machine Learning Engineer with 9 years experience, holding a B.S. in Computer Science. Expert in TensorFlow, Python, Hugging Face. Improved defect detection accuracy by 25% via Computer Vision.
SKILLS: CUDA, Scikit-learn, LLMs, Generative AI, OpenCV, Python, MLOps, Hugging Face, PyTorch, TensorFlow"
Syn_R13,ML,"Senior Machine Learning Engineer with 5 years experience, holding a B.S. in Computer Science. Expert in Scikit-learn, LLMs, OpenCV. Fine-tuned LLaMA model reducing support tickets by 60%.
SKILLS: Python, TensorFlow, LLMs, MLOps, Generative AI, PyTorch, Scikit-learn, CUDA, OpenCV"
Syn_R23,DS,"Senior Data Scientist with 6 years experience, holding a M.B.A.. Expert in Pandas, Statistical Modeling, SQL. Identified $50k in annual savings via supply chain analysis.
SKILLS: Python, Pandas, SQL, Statistical Modeling, Snowflake, Spark, R"
Syn_R47,PM,"Senior Product Manager with 2 years experience, holding a M.B.A.. Expert in Scrum, User Research, Roadmapping. Led cross-functional team to on-time Q4 launch.
SKILLS: Agile, User Research, Figma, SQL, Scrum, A/B Testing"
Syn_R39,FE,"Senior Frontend Developer with 7 years experience, holding a M.S. in Computer Science. Expert in Figma, Next.js, TypeScript. Refactored codebase reducing bug reports by 30%.
SKILLS: HTML, Jest, React, Next.js, Tailwind, Redux, Vue.js, CSS, Figma, TypeScript"
